,Order_ID,Date,Category,Region,Customer_Segment,Payment_Method,Quantity,Unit_Price,Discount_Rate,Customer_Rating,Returned,Subcategory,Total_Price,Discount_Amount,Net_Sales,Shipping_Cost,Profit_Margin,Profit,Month,Day,Only_Month,Year,DayOfWeek
0,ORD-10000,1970-01-01 07:30:45,Books,East,Business,PayPal,1,316.58,0.2,5.0,False,Comics,316.58,63.316,253.264,0.0,0.33,83.57712,2024-07-01,1,7,2024,0
1,ORD-10001,1970-01-01 07:30:46,Sports,West,Premium,Bank Transfer,5,279.76,0.1,4.0,True,Water Sports,1398.8,139.88,1258.92,0.0,0.2,251.784,2025-03-01,1,3,2025,5
2,ORD-10002,1970-01-01 07:30:46,Home & Kitchen,Central,Business,Bank Transfer,6,209.61,0.05,4.0,False,Furniture,1257.66,62.88300000000001,1194.777,0.0,0.37,442.06749,2024-12-01,1,12,2024,6
3,ORD-10003,1970-01-01 07:30:45,Home & Kitchen,North,Regular,Credit Card,3,265.47,0.15,4.0,False,Kitchenware,796.4100000000001,119.4615,676.9485000000001,0.0,0.23,155.698155,2024-07-01,1,7,2024,0
4,ORD-10004,1970-01-01 07:30:45,Electronics,North,New,Bank Transfer,9,449.32,0.0,4.0,False,Accessories,4043.88,0.0,4043.88,0.0,0.37,1496.2356,2024-06-01,1,6,2024,5
5,ORD-10005,1970-01-01 07:30:46,Clothing,North,New,PayPal,6,106.18,0.15,4.0,False,Children,637.08,95.562,541.518,0.0,0.2,108.3036,2024-10-01,1,10,2024,1
6,ORD-10006,1970-01-01 07:30:45,Clothing,North,New,Bank Transfer,4,21.06,0.0,5.0,True,Children,84.24,0.0,84.24,19.09,0.33,27.7992,2024-04-01,1,4,2024,0
7,ORD-10007,1970-01-01 07:30:45,Sports,East,New,PayPal,7,432.22,0.2,4.0,False,Team Sports,3025.54,605.1080000000001,2420.432,0.0,0.29,701.9252799999999,2024-07-01,1,7,2024,0
8,ORD-10008,1970-01-01 07:30:46,Clothing,West,New,Debit Card,8,292.79,0.2,4.0,False,Women,2342.32,468.4640000000001,1873.856,0.0,0.24,449.72544,2024-07-01,1,7,2024,0
9,ORD-10009,1970-01-01 07:30:46,Books,South,Premium,Credit Card,9,446.42,0.0,4.0,False,Children,4017.78,0.0,4017.78,0.0,0.22,883.9116,2024-11-01,1,11,2024,4
10,ORD-10010,1970-01-01 07:30:46,Clothing,East,Business,Bank Transfer,6,302.5,,3.0,False,Women,1815.0,272.25,1542.75,0.0,0.29,447.3975,2025-02-01,1,2,2025,5
11,ORD-10011,1970-01-01 07:30:45,Sports,East,Regular,PayPal,6,406.98,0.0,3.0,True,Outdoor,2441.88,0.0,2441.88,0.0,0.22,537.2136,2024-06-01,1,6,2024,5
12,ORD-10012,1970-01-01 07:30:45,Clothing,South,Premium,Cash on Delivery,8,220.54,0.05,5.0,False,Accessories,1764.32,88.21600000000001,1676.104,0.0,0.3,502.8311999999999,2024-07-01,1,7,2024,0
13,ORD-10013,1970-01-01 07:30:46,Books,South,Business,Credit Card,5,377.43,0.2,4.0,True,Non-fiction,1887.15,377.4300000000001,1509.72,0.0,0.33,498.2076,2025-03-01,1,3,2025,5
14,ORD-10014,1970-01-01 07:30:46,Electronics,North,New,Debit Card,3,457.39,0.05,4.0,False,Laptops,1372.17,68.6085,1303.5615,0.0,0.37,482.317755,2024-08-01,1,8,2024,3
15,ORD-10015,1970-01-01 07:30:46,Sports,East,Business,PayPal,3,290.34,0.2,4.0,False,Team Sports,871.02,174.204,696.816,0.0,0.34,236.91744,2024-08-01,1,8,2024,3
16,ORD-10016,1970-01-01 07:30:46,Electronics,Central,Business,Debit Card,6,98.58,0.2,1.0,False,Laptops,591.48,118.296,473.184,0.0,0.21,99.36864,2024-08-01,1,8,2024,3
17,ORD-10017,1970-01-01 07:30:46,Electronics,South,New,Debit Card,2,141.71,0.1,4.0,False,Audio,283.42,28.342,255.078,0.0,0.26,66.32028,2025-02-01,1,2,2025,5
18,ORD-10018,1970-01-01 07:30:46,Electronics,South,New,Bank Transfer,6,107.34,0.05,4.0,False,Accessories,644.04,32.202,611.838,0.0,0.26,159.07788,2024-12-01,1,12,2024,6
19,ORD-10019,1970-01-01 07:30:46,Home & Kitchen,West,New,Bank Transfer,6,130.96,0.05,4.0,False,Furniture,785.76,39.288,746.472,0.0,0.38,283.65936,2025-03-01,1,3,2025,5
20,ORD-10020,1970-01-01 07:30:46,Home & Kitchen,Central,Regular,PayPal,8,160.14,0.1,4.0,False,Decor,1281.12,128.112,1153.008,0.0,0.37,426.6129599999999,2025-01-01,1,1,2025,2
21,ORD-10021,1970-01-01 07:30:46,Electronics,Central,New,Cash on Delivery,7,282.02,0.15,2.0,True,Laptops,1974.14,296.121,1678.019,0.0,0.27,453.06513,2024-10-01,1,10,2024,1
22,ORD-10022,1970-01-01 07:30:46,Sports,South,Regular,PayPal,8,298.12,0.05,3.0,False,Water Sports,2384.96,119.248,2265.712,0.0,0.21,475.79952,2025-01-01,1,1,2025,2
23,ORD-10023,1970-01-01 07:30:46,Books,North,New,Cash on Delivery,9,218.98,0.0,5.0,False,Children,1970.82,0.0,1970.82,0.0,0.38,748.9116,2024-09-01,1,9,2024,6
24,ORD-10024,1970-01-01 07:30:46,Books,West,Regular,Debit Card,6,311.56,0.1,4.0,False,Educational,1869.36,186.936,1682.424,0.0,0.38,639.32112,2025-02-01,1,2,2025,5
25,ORD-10025,1970-01-01 07:30:45,Clothing,Central,Business,Credit Card,3,49.97,0.05,4.0,False,Men,149.91,7.4955,142.4145,5.94,0.37,52.693365,2024-04-01,1,4,2024,0
26,ORD-10026,1970-01-01 07:30:46,Sports,South,Premium,PayPal,3,53.02,0.15,2.0,False,Fitness,159.06,23.859,135.201,17.51,0.37,50.02437,2024-12-01,1,12,2024,6
27,ORD-10027,1970-01-01 07:30:46,Home & Kitchen,Central,Business,PayPal,1,94.2,0.05,1.0,False,Bedding,94.2,4.71,89.49000000000001,16.77,0.3,26.847,2024-11-01,1,11,2024,4
28,ORD-10028,1970-01-01 07:30:46,Electronics,West,Business,Cash on Delivery,5,263.86,0.2,4.0,False,Cameras,1319.3,263.8600000000001,1055.44,0.0,0.24,253.3056,2025-03-01,1,3,2025,5
29,ORD-10029,1970-01-01 07:30:45,Clothing,West,New,Debit Card,4,114.86,0.0,4.0,False,Children,459.44,0.0,459.44,0.0,0.3,137.832,2024-05-01,1,5,2024,2
30,ORD-10030,1970-01-01 07:30:45,Books,East,Regular,Debit Card,9,148.81,0.1,4.0,False,Comics,1339.29,133.929,1205.361,0.0,0.3,361.6082999999999,2024-05-01,1,5,2024,2
31,ORD-10031,1970-01-01 07:30:46,Home & Kitchen,South,Premium,Cash on Delivery,9,206.15,0.2,3.0,False,Kitchenware,1855.35,371.0700000000001,1484.28,0.0,0.3,445.284,2024-09-01,1,9,2024,6
32,ORD-10032,1970-01-01 07:30:46,Home & Kitchen,West,New,Debit Card,5,407.81,0.15,4.0,False,Bedding,2039.05,305.8575,1733.1925,0.0,0.31,537.289675,2024-10-01,1,10,2024,1
33,ORD-10033,1970-01-01 07:30:46,Electronics,East,New,Bank Transfer,4,16.79,0.2,3.0,True,Audio,67.16,13.432,53.72799999999999,14.84,0.25,13.432,2024-12-01,1,12,2024,6
